"username","email","age","password","role","balance","current_balance"
"Simon","simon@gmail.com","22","abc123","admin","1000","1000"
"Moawya","moawya@gmail.com","26","abc123","admin","1000","1000"
"Zein","zein@gmail.com","43","abc124","admin","1000","1000"
"Hafsa","hafsa@gmail.com","23","abc125","admin","1000","1000"
"adam1","adam1@gmail.com","25","abc126","user","1000","1000"
"adam2","adam2@gmail.com","20","abc127","user","1000","1000"
"adam3","adam3@gmail.com","25","abc128","user","1000","1000"
"adam4","adam4@gmail.com","21","abc129","user","1000","1000"
"adam5","adam5@gmail.com","44","abc130","user","1000","1000"
"adam6","adam6@gmail.com","43","abc131","user","1000","1000"
"adam7","adam7@gmail.com","22","abc132","user","1000","1000"
"adam8","adam8@gmail.com","35","abc133","user","1000","1000"
"adam9","adam9@gmail.com","23","abc134","user","1000","1000"
"adam10","adam10@gmail.com","24","abc135","user","1000","1000"
"adam11","adam11@gmail.com","27","abc136","user","1000","1000"
"adam12","adam12@gmail.com","22","abc137","user","1000","1000"
"adam13","adam13@gmail.com","36","abc138","user","1000","1000"
"adam14","adam14@gmail.com","36","abc139","user","1000","1000"
"adam15","adam15@gmail.com","31","abc140","user","1000","1000"
"adam16","adam16@gmail.com","37","abc141","user","1000","1000"
"adam17","adam17@gmail.com","42","abc142","user","1000","1000"
"adam18","adam18@gmail.com","29","abc143","user","1000","1000"
"adam19","adam19@gmail.com","44","abc144","user","1000","1000"
"adam20","adam20@gmail.com","29","abc145","user","1000","1000"
"adam21","adam21@gmail.com","21","abc146","user","1000","1000"
"adam22","adam22@gmail.com","42","abc147","user","1000","1000"
"adam23","adam23@gmail.com","35","abc148","user","1000","1000"
"adam24","adam24@gmail.com","30","abc149","user","1000","1000"
"adam25","adam25@gmail.com","23","abc150","user","1000","1000"
"adam26","adam26@gmail.com","40","abc151","user","1000","1000"
"adam27","adam27@gmail.com","32","abc152","user","1000","1000"
"adam28","adam28@gmail.com","39","abc153","user","1000","1000"
"adam29","adam29@gmail.com","21","abc154","user","1000","1000"
"adam30","adam30@gmail.com","31","abc155","user","1000","1000"
"adam31","adam31@gmail.com","22","abc156","user","1000","1000"
